TEAM_ID,TEAM_NAME,GAME_DATE,MATCHUP,PTS,FGM,FGA,FG_PCT
1611661328,Seattle Storm,2026-07-06T00:00:00,SEA @ LAS,82,32,75,0.427
1611661331,Golden State Valkyries,2026-07-06T00:00:00,GSV @ WAS,62,26,74,0.351
1611661323,Connecticut Sun,2026-07-06T00:00:00,CON @ MIN,90,33,66,0.5
1611661324,Minnesota Lynx,2026-07-06T00:00:00,MIN vs. CON,89,31,71,0.437
1611661322,Washington Mystics,2026-07-06T00:00:00,WAS vs. GSV,49,18,60,0.3
1611661320,Los Angeles Sparks,2026-07-06T00:00:00,LAS vs. SEA,64,22,65,0.338
1611661325,Indiana Fever,2026-07-05T00:00:00,IND @ LVA,84,30,70,0.429
1611661321,Dallas Wings,2026-07-05T00:00:00,DAL @ TOR,89,33,75,0.44
1611661332,Toronto Tempo,2026-07-05T00:00:00,TOR vs. DAL,76,28,72,0.389
1611661319,Las Vegas Aces,2026-07-05T00:00:00,LVA vs. IND,68,22,55,0.4
1611661331,Golden State Valkyries,2026-07-04T00:00:00,GSV @ ATL,88,31,67,0.463
1611661327,Portland Fire,2026-07-04T00:00:00,PDX @ SEA,77,25,68,0.368
1611661330,Atlanta Dream,2026-07-04T00:00:00,ATL vs. GSV,83,26,66,0.394
1611661328,Seattle Storm,2026-07-04T00:00:00,SEA vs. PDX,72,24,71,0.338
1611661313,New York Liberty,2026-07-03T00:00:00,NYL vs. MIN,99,36,62,0.581
1611661319,Las Vegas Aces,2026-07-03T00:00:00,LVA vs. CHI,98,35,69,0.507
1611661329,Chicago Sky,2026-07-03T00:00:00,CHI @ LVA,90,28,65,0.431
1611661324,Minnesota Lynx,2026-07-03T00:00:00,MIN @ NYL,86,34,85,0.4
1611661317,Phoenix Mercury,2026-07-02T00:00:00,PHX vs. SEA,90,33,73,0.452
1611661322,Washington Mystics,2026-07-02T00:00:00,WAS vs. ATL,81,31,56,0.554
1611661321,Dallas Wings,2026-07-02T00:00:00,DAL @ CON,86,33,68,0.485
1611661323,Connecticut Sun,2026-07-02T00:00:00,CON vs. DAL,83,29,64,0.453
