GAME_ID,SPORT_KEY,COMMENCE_TIME,HOME_TEAM,AWAY_TEAM,BOOKMAKER,MARKET_TYPE,TARGET_TEAM,PRICE,POINT
2077ab7ab8e6b6e3437a042a329a944f,basketball_wnba,2026-07-08T02:00:00Z,Phoenix Mercury,Chicago Sky,BetUS,spreads,Phoenix Mercury,1.91,-3.5
2077ab7ab8e6b6e3437a042a329a944f,basketball_wnba,2026-07-08T02:00:00Z,Phoenix Mercury,Chicago Sky,BetUS,totals,Over,1.91,172.5
2077ab7ab8e6b6e3437a042a329a944f,basketball_wnba,2026-07-08T02:00:00Z,Phoenix Mercury,Chicago Sky,BetUS,totals,Under,1.91,172.5
2077ab7ab8e6b6e3437a042a329a944f,basketball_wnba,2026-07-08T02:00:00Z,Phoenix Mercury,Chicago Sky,BetMGM,h2h,Chicago Sky,2.45,
2077ab7ab8e6b6e3437a042a329a944f,basketball_wnba,2026-07-08T02:00:00Z,Phoenix Mercury,Chicago Sky,BetMGM,h2h,Phoenix Mercury,1.57,
2077ab7ab8e6b6e3437a042a329a944f,basketball_wnba,2026-07-08T02:00:00Z,Phoenix Mercury,Chicago Sky,BetMGM,spreads,Chicago Sky,1.87,4.5
2077ab7ab8e6b6e3437a042a329a944f,basketball_wnba,2026-07-08T02:00:00Z,Phoenix Mercury,Chicago Sky,BetMGM,spreads,Phoenix Mercury,1.95,-4.5
2077ab7ab8e6b6e3437a042a329a944f,basketball_wnba,2026-07-08T02:00:00Z,Phoenix Mercury,Chicago Sky,BetMGM,totals,Over,1.91,172.5
2077ab7ab8e6b6e3437a042a329a944f,basketball_wnba,2026-07-08T02:00:00Z,Phoenix Mercury,Chicago Sky,BetMGM,totals,Under,1.91,172.5
82635798d7e0a24dc54a2138a1d94653,basketball_wnba,2026-07-08T23:00:00Z,Toronto Tempo,Golden State Valkyries,FanDuel,h2h,Golden State Valkyries,1.34,
82635798d7e0a24dc54a2138a1d94653,basketball_wnba,2026-07-08T23:00:00Z,Toronto Tempo,Golden State Valkyries,FanDuel,h2h,Toronto Tempo,3.25,
82635798d7e0a24dc54a2138a1d94653,basketball_wnba,2026-07-08T23:00:00Z,Toronto Tempo,Golden State Valkyries,FanDuel,spreads,Golden State Valkyries,1.94,-7.5
82635798d7e0a24dc54a2138a1d94653,basketball_wnba,2026-07-08T23:00:00Z,Toronto Tempo,Golden State Valkyries,FanDuel,spreads,Toronto Tempo,1.88,7.5
82635798d7e0a24dc54a2138a1d94653,basketball_wnba,2026-07-08T23:00:00Z,Toronto Tempo,Golden State Valkyries,FanDuel,totals,Over,1.94,169.5
82635798d7e0a24dc54a2138a1d94653,basketball_wnba,2026-07-08T23:00:00Z,Toronto Tempo,Golden State Valkyries,FanDuel,totals,Under,1.88,169.5
82635798d7e0a24dc54a2138a1d94653,basketball_wnba,2026-07-08T23:00:00Z,Toronto Tempo,Golden State Valkyries,BetOnline.ag,h2h,Golden State Valkyries,1.33,
82635798d7e0a24dc54a2138a1d94653,basketball_wnba,2026-07-08T23:00:00Z,Toronto Tempo,Golden State Valkyries,BetOnline.ag,h2h,Toronto Tempo,3.45,
82635798d7e0a24dc54a2138a1d94653,basketball_wnba,2026-07-08T23:00:00Z,Toronto Tempo,Golden State Valkyries,BetOnline.ag,spreads,Golden State Valkyries,1.91,-7.0
82635798d7e0a24dc54a2138a1d94653,basketball_wnba,2026-07-08T23:00:00Z,Toronto Tempo,Golden State Valkyries,BetOnline.ag,spreads,Toronto Tempo,1.91,7.0
82635798d7e0a24dc54a2138a1d94653,basketball_wnba,2026-07-08T23:00:00Z,Toronto Tempo,Golden State Valkyries,BetOnline.ag,totals,Over,1.91,169.5
82635798d7e0a24dc54a2138a1d94653,basketball_wnba,2026-07-08T23:00:00Z,Toronto Tempo,Golden State Valkyries,BetOnline.ag,totals,Under,1.91,169.5
